Пол,Направление подготовки,Курс обучения,Сумма баллов ЕГЭ за 3 предмета,Принимали ли вы участие в олимпиадах по профильным предметам? / Математика,Принимали ли вы участие в олимпиадах по профильным предметам? / Информатика и программирование,Принимали ли вы участие в олимпиадах по профильным предметам? / Физика,"Какие увлечения у вас были, когда вы учились в школе? / Геймдев, VR, AR","Какие увлечения у вас были, когда вы учились в школе? / Спорт","Какие увлечения у вас были, когда вы учились в школе? / Программирование","Какие увлечения у вас были, когда вы учились в школе? / Робототехника","Какие увлечения у вас были, когда вы учились в школе? / 3D-моделирование","Какие увлечения у вас были, когда вы учились в школе? / Решение математических задач","Какие увлечения у вас были, когда вы учились в школе? / Творчество: музыка, рисование, танцы и т.п.","Какие увлечения у вас были, когда вы учились в школе? / Физика",Насколько вы любите заниматься ...? / Веб-разработкой,Насколько вы любите заниматься ...? / Системным администрированием,Насколько вы любите заниматься ...? / Математикой,Насколько вы любите заниматься ...? / Работой с компьютерным оборудованием и сборкой ПК,Насколько вы любите заниматься ...? / Биологией,Насколько вы любите заниматься ...? / Аналитикой данных,Насколько вы любите заниматься ...? / Разработка графических интерфейсов - GUI,Насколько вы любите заниматься ...? / Написанием серверной части приложений - Back,Насколько вы любите заниматься ...? / Написанием клиентской части приложений - Front,Насколько вы любите заниматься ...? / Экономикой и финансами,"Насколько вы любите заниматься ...? / Поиском ошибок и уязвимостей на сайтах, в играх или приложениях","Если бы вы могли выбрать только 1 сферу в IT, то что бы выбрали?","Вы поступили в университет, потому что сами этого хотели?",Вам важно получать хорошие отметки?
Мужской,Информатика и вычислительная техника,1 Курс,231-260,,,,,Спорт,,,,Решение математических задач,,,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Разработка игр,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,,,,Спорт,Программирование,,,,,,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Нет
Мужской,Информационная безопасность,1 Курс,231-260,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Разработка игр,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,Информатика и программирование,,,Спорт,Программирование,,,,,,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Системное программирование,Да,Да
Женский,Информационная безопасность автоматизированных систем,1 Курс,201-230,,Информатика и программирование,Физика,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,Математика,,,,,Программирование,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Облачные вычисления и DevOps,Да,Нет
Женский,Информационная безопасность,1 Курс,231-260,Математика,,,,Спорт,,,,,,Физика,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информационная безопасность,1 Курс,231-260,,,,,Спорт,,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",Физика,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,201-230,Математика,,Физика,"Геймдев, VR, AR",Спорт,Программирование,,,,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Системное программирование,Да,Да
Женский,Информатика и вычислительная техника,1 Курс,231-260,Математика,Информатика и программирование,Физика,,,Программирование,,,,,,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Мобильная разработка,Да,Да
Женский,Информатика и вычислительная техника,1 Курс,261-300,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Аналитика данных,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,151-200,,,,"Геймдев, VR, AR",,Программирование,,,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Разработка игр,Да,Нет
Женский,Биотехнические системы и технологии,3 Курс,231-260,,,,,Спорт,Программирование,,,,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Веб-разработка,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,201-230,Математика,,,"Геймдев, VR, AR",,Программирование,,,Решение математических задач,,,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Разработка игр,Да,Да
Мужской,Управление в технических системах,1 Курс,231-260,,,,,Спорт,,,,,,,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Системное программирование,Да,Да
Мужской,Управление в технических системах,1 Курс,231-260,,,,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Системное программирование,Да,Да
Мужской,Управление в технических системах,1 Курс,201-230,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Системное программирование,Да,Да
Мужской,Управление в технических системах,1 Курс,231-260,Математика,Информатика и программирование,,"Геймдев, VR, AR",Спорт,,,3D-моделирование,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Искусственный интеллект и машинное обучение,Да,Да
Женский,Управление в технических системах,1 Курс,201-230,,,,"Геймдев, VR, AR",,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Разработка игр,Да,Да
Мужской,Управление в технических системах,1 Курс,201-230,Математика,,,"Геймдев, VR, AR",Спорт,Программирование,,,,,,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Искусственный интеллект и машинное обучение,Да,Да
Мужской,Управление в технических системах,1 Курс,261-300,,,Физика,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Системное программирование,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,261-300,Математика,Информатика и программирование,Физика,,Спорт,Программирование,,,Решение математических задач,,,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Программная инженерия,1 Курс,261-300,Математика,,Физика,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Облачные вычисления и DevOps,Да,Да
Мужской,Управление в технических системах,1 Курс,201-230,Математика,Информатика и программирование,,,Спорт,Программирование,,,,,,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Системное программирование,Нет,Нет
Мужской,Информационная безопасность автоматизированных систем,1 Курс,231-260,,Информатика и программирование,,,Спорт,Программирование,,,,,,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информационные системы и технологии,1 Курс,151-200,,,,"Геймдев, VR, AR",Спорт,,,,,,,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Разработка игр,Да,Да
Женский,Информационные системы и технологии,1 Курс,231-260,,,,"Геймдев, VR, AR",,Программирование,,3D-моделирование,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",Физика,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Системное программирование,Да,Да
Женский,Информатика и вычислительная техника,1 Курс,231-260,Математика,Информатика и программирование,Физика,,,Программирование,,,,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Веб-разработка,Да,Нет
Женский,Программная инженерия,1 Курс,261-300,,,,,,,,,,,,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Системное программирование,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,231-260,Математика,,Физика,"Геймдев, VR, AR",Спорт,Программирование,,,Решение математических задач,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Разработка игр,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,231-260,Математика,,Физика,,Спорт,,,,,,,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,231-260,Математика,Информатика и программирование,Физика,,,Программирование,,,,,,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Системное программирование,Да,Да
Мужской,Информационная безопасность,1 Курс,231-260,,Информатика и программирование,,,,Программирование,,,,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Системное программирование,Да,Нет
Мужской,Информатика и вычислительная техника,1 Курс,231-260,,,,,Спорт,Программирование,,,,,,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Системное программирование,Да,Нет
Мужской,Информатика и вычислительная техника,1 Курс,231-260,,,,,Спорт,,,,,,,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Разработка игр,Нет,Нет
Мужской,Информационная безопасность автоматизированных систем,1 Курс,231-260,,,,,Спорт,,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Да
Женский,Информатика и вычислительная техника,1 Курс,120-150,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Разработка игр,Да,Да
Мужской,Информационная безопасность,1 Курс,201-230,Математика,Информатика и программирование,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Искусственный интеллект и машинное обучение,Да,Да
Женский,Приборостроение,1 Курс,151-200,,,Физика,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Веб-разработка,Да,Да
Мужской,Информационная безопасность,1 Курс,231-260,,Информатика и программирование,,,Спорт,Программирование,,,,,,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Программная инженерия,1 Курс,151-200,,,,,,,,,,,,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Облачные вычисления и DevOps,Да,Нет
Мужской,Приборостроение,1 Курс,201-230,,,,,Спорт,Программирование,,,,,,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Затрудняюсь ответить,Меня это мало интересует,Системное программирование,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,201-230,,,,,Спорт,Программирование,,,,"Творчество: музыка, рисование, танцы и т.п.",Физика,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Системное программирование,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,231-260,,,,,Спорт,Программирование,,,,,,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Информатика и вычислительная техника,1 Курс,201-230,,,,,Спорт,Программирование,,,,,,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Системное программирование,Да,Да
Женский,Управление в технических системах,1 Курс,201-230,,,,,Спорт,Программирование,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Веб-разработка,Да,Да
Мужской,Программная инженерия,2 Курс,231-260,,,,,Спорт,,,,Решение математических задач,,,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Разработка игр,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,,,,Спорт,,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,QA-тестировщик,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Разработка игр,Да,Да
Мужской,Информационная безопасность,1 Курс,151-200,Математика,,Физика,,Спорт,,,,,,,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Информационная безопасность автоматизированных систем,1 Курс,201-230,,,,,Спорт,Программирование,,,,,,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Разработка игр,Да,Да
Женский,Информационная безопасность,2 Курс,201-230,Математика,,,,Спорт,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Нет
Мужской,Приборостроение,1 Курс,201-230,,,,,,Программирование,,,Решение математических задач,,,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,"Да, это точно про меня!","Да, это точно про меня!","Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Да
Мужской,Информационные системы и технологии,1 Курс,261-300,,Информатика и программирование,,,Спорт,Программирование,Робототехника,,,,,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Затрудняюсь ответить,Кибербезопасность,Да,Да
Женский,Информационная безопасность автоматизированных систем,1 Курс,231-260,Математика,Информатика и программирование,Физика,,,Программирование,,,Решение математических задач,"Творчество: музыка, рисование, танцы и т.п.",Физика,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Кибербезопасность,Да,Да
Мужской,Информационная безопасность,1 Курс,151-200,,,,,Спорт,Программирование,Робототехника,,,"Творчество: музыка, рисование, танцы и т.п.",,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Нет
Мужской,Информационная безопасность,1 Курс,231-260,,Информатика и программирование,,,,Программирование,,,,,,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Меня это мало интересует,Меня это мало интересует,"Да, это точно про меня!",Разработка игр,Да,Нет
Мужской,Информационная безопасность,1 Курс,231-260,,,,"Геймдев, VR, AR",,Программирование,Робототехника,,,,,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Разработка игр,Да,Нет
Мужской,Информационная безопасность,1 Курс,231-260,,Информатика и программирование,,,,Программирование,,,Решение математических задач,,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Кибербезопасность,Да,Да
Мужской,Информационная безопасность,1 Курс,151-200,,,,,,,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,"Да, это точно про меня!",Кибербезопасность,Да,Нет
Женский,Прикладная информатика,1 Курс,231-260,,,,,,,,,,"Творчество: музыка, рисование, танцы и т.п.",,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Меня это мало интересует,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Да, это точно про меня!",Аналитика данных,Да,Да
